county,week,week number,Examination Gloves,Viral Testing Media,Swabs,Other / None of the above,Cleaning Supplies,Surgical or Examination Gowns,Wipes,Shoe Covers,Surgical Masks,Face Shields (Disposable),Hand Sanitizers,Pharmaceuticals,Cloth Masks,Lab Supplies,Coveralls (Hospitals or EMS),Medical Equipment,N-95 Respirators,KN95 Respirators,Test Kits,Sample Collecting Kits,Goggles,Lab Kit,Body Bags,Personnel,Beds/Cots,Ventilators,Lab Platform,Fit Testing Supplies,Bedding Accessories
['Lassen'],2021-02-27 to 2021-03-05,1,[420000.0],[35280.0],[35035.0],[0.0],[0.0],[55370.0],[280000.0],[0.0],[3346000.0],[30184.0],[62580.0],[102200.0],[195699.0],[0.0],[0.0],[12985.0],[2919000.0],[88200.0],[143360.0],[36400.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Butte'],2021-02-27 to 2021-03-05,1,[2057720.0],[256312.0],[361214.0],[102053.0],[0.0],[331464.0],[4028640.0],[0.0],[7711200.0],[215684.0],[287133.0],[742.0],[1249220.0],[0.0],[0.0],[43050.0],[1637524.0],[376600.0],[273910.0],[232400.0],[27076.0],[1400.0],[700.0],[231.0],[0.0],[35.0],[0.0],[0.0],[0.0]
['Merced'],2021-02-27 to 2021-03-05,1,[24859000.0],[858115.0],[1039800.0],[101052.0],[42.0],[2409050.0],[373964.0],[21000.0],[17568400.0],[1317192.0],[231042.0],[2044.0],[2096332.0],[0.0],[0.0],[2772.0],[5628080.0],[246960.0],[1132640.0],[443100.0],[82705.0],[0.0],[3430.0],[406.0],[0.0],[56.0],[0.0],[14.0],[0.0]
['Glenn'],2021-02-27 to 2021-03-05,1,[777000.0],[32256.0],[91000.0],[70.0],[0.0],[19950.0],[0.0],[0.0],[1815800.0],[25900.0],[24472.0],[1785.0],[147679.0],[0.0],[0.0],[19600.0],[1743000.0],[0.0],[117880.0],[1750.0],[700.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Plumas'],2021-02-27 to 2021-03-05,1,[308000.0],[19600.0],[70000.0],[16422.0],[0.0],[18200.0],[37800.0],[0.0],[687400.0],[30912.0],[25116.0],[1414.0],[121800.0],[0.0],[2814.0],[19600.0],[94920.0],[0.0],[40320.0],[0.0],[5600.0],[0.0],[0.0],[0.0],[0.0],[168.0],[0.0],[133.0],[0.0]
['Sierra'],2021-02-27 to 2021-03-05,1,[116060.0],[5600.0],[10500.0],[7000.0],[0.0],[12040.0],[33600.0],[0.0],[81900.0],[3500.0],[15974.0],[182.0],[21028.0],[10500.0],[0.0],[45500.0],[28280.0],[0.0],[8960.0],[5600.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[21.0],[0.0]
['Alpine'],2021-02-27 to 2021-03-05,1,[48160.0],[5600.0],[0.0],[252.0],[0.0],[350.0],[0.0],[0.0],[57400.0],[4900.0],[7294.0],[0.0],[1652.0],[0.0],[700.0],[0.0],[4760.0],[8820.0],[24920.0],[700.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Los Angeles'],2021-03-06 to 2021-03-12,2,[413612000.0],[7616182.0],[11036550.0],[3726730.0],[170800.0],[88496192.0],[29380472.0],[359100.0],[456767050.0],[28653702.0],[13720789.0],[274316.0],[42448700.0],[0.0],[160804.0],[4503447.0],[284141620.0],[1420720.0],[6432960.0],[385000.0],[511800.0],[0.0],[33740.0],[24912.0],[1834.0],[7392.0],[0.0],[266.0],[0.0]
['Solano'],2021-03-06 to 2021-03-12,2,[18425520.0],[411978.0],[693700.0],[100457.0],[0.0],[678496.0],[40320.0],[5250.0],[10467100.0],[803138.0],[244636.0],[3052.0],[1451800.0],[97300.0],[33250.0],[19785.0],[3861340.0],[13020.0],[878080.0],[0.0],[70700.0],[45500.0],[0.0],[126.0],[0.0],[0.0],[0.0],[35.0],[0.0]
['Fresno'],2021-03-06 to 2021-03-12,2,[34865040.0],[801500.0],[1052800.0],[491519.0],[0.0],[1321810.0],[1820000.0],[241150.0],[60753000.0],[2132200.0],[2385803.0],[12943.0],[12068000.0],[0.0],[8960.0],[57351.0],[12613440.0],[897540.0],[870940.0],[10500.0],[79800.0],[0.0],[0.0],[2541.0],[0.0],[28.0],[0.0],[861.0],[0.0]
['Mendocino'],2021-03-06 to 2021-03-12,2,[3925000.0],[122241.0],[207200.0],[80150.0],[224000.0],[507710.0],[266560.0],[0.0],[5032500.0],[290100.0],[178522.0],[448.0],[722022.0],[24612.0],[5040.0],[83400.0],[1509520.0],[14000.0],[371840.0],[68152.0],[21000.0],[0.0],[0.0],[84.0],[301.0],[21.0],[0.0],[0.0],[0.0]
['Trinity'],2021-03-06 to 2021-03-12,2,[1750000.0],[20650.0],[35707.0],[18200.0],[0.0],[89978.0],[25200.0],[0.0],[579560.0],[41160.0],[13972.0],[595.0],[72720.0],[7000.0],[126.0],[19600.0],[226604.0],[8820.0],[94080.0],[17500.0],[0.0],[0.0],[0.0],[56.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Nevada'],2021-03-06 to 2021-03-12,2,[2945600.0],[83139.0],[120400.0],[22988.0],[0.0],[228284.0],[12600.0],[0.0],[1057000.0],[67900.0],[59150.0],[700.0],[154616.0],[0.0],[2800.0],[69300.0],[1020040.0],[95200.0],[44240.0],[4550.0],[7700.0],[0.0],[0.0],[84.0],[0.0],[0.0],[0.0],[28.0],[0.0]
['Inyo'],2021-03-06 to 2021-03-12,2,[4201960.0],[18158.0],[126700.0],[5488.0],[756.0],[35924.0],[660800.0],[28000.0],[3680300.0],[194192.0],[113628.0],[100800.0],[942760.0],[52500.0],[10087.0],[39893.0],[664240.0],[66920.0],[72870.0],[9100.0],[2100.0],[0.0],[1050.0],[21.0],[364.0],[280.0],[0.0],[35.0],[0.0]
